song_id,song_title,original_folder,download_log_row,manifest_source_file,cpdl_source_title,cpdl_media_filename,cpdl_media_url,edition_license,editor,cpdl_number,posted_date,cpdl_work_page,rights_review_status
145,Yo me estaba reposando (Juan del Encina),1219,1219,1219.xml,Yo me estaba reposando (Juan del Encina),Encina_Yo_me.mxl,https://www.cpdl.org/wiki/images/c/ca/Encina_Yo_me.mxl,Creative Commons Attribution Non-Commercial,Nikolaus Hold,48846,2018-02-17,https://www.cpdl.org/wiki/index.php/Yo_me_estaba_reposando_(Juan_del_Encina),review_creative_commons_variant
146,I glory in the word of God (John Arnold),1222,1222,1222.xml,I glory in the word of God (John Arnold),ArnoJ-IGloryInTheWord.mxl,https://www.cpdl.org/wiki/images/0/08/ArnoJ-IGloryInTheWord.mxl,Public Domain,Edmund Gooch,30759,2013-12-10,https://www.cpdl.org/wiki/index.php/I_glory_in_the_word_of_God_(John_Arnold),public_domain_marker
149,He that hath made his refuge God (Langport) (Thomas Clark),1229,1229,1229.xml,He that hath made his refuge God (Langport) (Thomas Clark),ClarT-HeThatHath-Langport.mxl,https://www.cpdl.org/wiki/images/7/78/ClarT-HeThatHath-Langport.mxl,Public Domain,Edmund Gooch,26670,2012-07-03,https://www.cpdl.org/wiki/index.php/He_that_hath_made_his_refuge_God_(Langport)_(Thomas_Clark),public_domain_marker
150,Hellas pour quoy (Pierre Lescornet),1230,1230,1230.xml,Hellas pour quoy (Pierre Lescornet),Lescornet-Hellas_pour_quoy_my.mxl,https://www.cpdl.org/wiki/images/c/c5/Lescornet-Hellas_pour_quoy_my.mxl,CPDL,André Vierendeels,28829,2013-04-22,https://www.cpdl.org/wiki/index.php/Hellas_pour_quoy_(Pierre_Lescornet),redistributable_cpdl_terms
151,Dixit Dominus (Alessandro Grandi),1232,1232,1232.xml,Dixit Dominus (Alessandro Grandi),Dixit_Dominus_Grandi.mxl,https://www.cpdl.org/wiki/images/d/d7/Dixit_Dominus_Grandi.mxl,CPDL,James Gibb,48578,2018-01-27,https://www.cpdl.org/wiki/index.php/Dixit_Dominus_(Alessandro_Grandi),redistributable_cpdl_terms
159,Absolve Domine (Peter Cornelius),4156,4156,4156.xml,Absolve Domine (Peter Cornelius),Absolve_Domine_Cornelius.mxl,https://www.cpdl.org/wiki/images/3/35/Absolve_Domine_Cornelius.mxl,CPDL,James Gibb,48084,2017-12-18,https://www.cpdl.org/wiki/index.php/Absolve_Domine_(Peter_Cornelius),redistributable_cpdl_terms
161,"Adoramus te, Christe (Jacobus Clemens non Papa)",3819,3819,3819.xml,"Adoramus te, Christe (Jacobus Clemens non Papa)",Adoramus_te_Clemens.mxl,https://www.cpdl.org/wiki/images/9/9f/Adoramus_te_Clemens.mxl,CPDL,James Gibb,26223,2012-05-20,"https://www.cpdl.org/wiki/index.php/Adoramus_te,_Christe_(Jacobus_Clemens_non_Papa)",redistributable_cpdl_terms
162,"Adoramus te, Christe II (Giacomo Antonio Perti)",3326,3326,3326.xml,"Adoramus te, Christe II (Giacomo Antonio Perti)",Adoramus_te_Perti_II.mxl,https://www.cpdl.org/wiki/images/d/d2/Adoramus_te_Perti_II.mxl,CPDL,James Gibb,26229,2012-05-20,"https://www.cpdl.org/wiki/index.php/Adoramus_te,_Christe_II_(Giacomo_Antonio_Perti)",redistributable_cpdl_terms
164,Agnus Dei (Thomas Morley),2979,2979,2979.xml,Agnus Dei (Thomas Morley),Agnus_Dei_Morley.mxl,https://www.cpdl.org/wiki/images/5/58/Agnus_Dei_Morley.mxl,CPDL,James Gibb,20829,2010-01-14,https://www.cpdl.org/wiki/index.php/Agnus_Dei_(Thomas_Morley),redistributable_cpdl_terms
165,"Ahi, dispietata morte! (Luca Marenzio)",3229,3229,3229.xml,"Ahi, dispietata morte! (Luca Marenzio)","13_-_Ahi,_dispietata_morte!.mxl",https://www.cpdl.org/wiki/images/5/52/13_-_Ahi%2C_dispietata_morte%21.mxl,Public Domain,Marcos Mato,54440,2019-06-01,"https://www.cpdl.org/wiki/index.php/Ahi,_dispietata_morte!_(Luca_Marenzio)",public_domain_marker
